uid,content,operationLog,dateTime,currentUser,type
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Register user successfully","CREATE_USER","2024-05-02T00:31:00.083Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Creation of vehicle successfully","VEHICLE","2024-05-02T00:32:27.771Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T00:40:00.321Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T00:44:10.874Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T00:44:37.976Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Creation of vehicle successfully","VEHICLE","2024-05-02T00:45:50.095Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T00:50:12.874Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Creation of vehicle successfully","VEHICLE","2024-05-02T00:50:54.465Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T00:51:32.687Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Creation of vehicle successfully","VEHICLE","2024-05-02T00:51:51.349Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T00:59:50.349Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T01:00:20.987Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Edition of vehicle successfully","VEHICLE","2024-05-02T01:00:48.130Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Creation of vehicle successfully","VEHICLE","2024-05-02T01:02:00.927Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Edition of vehicle successfully","VEHICLE","2024-05-02T01:03:01.046Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Creation of vehicle successfully","VEHICLE","2024-05-02T01:04:12.229Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Edition of vehicle successfully","VEHICLE","2024-05-02T01:04:26.445Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T01:12:46.699Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Edition of vehicle successfully","VEHICLE","2024-05-02T01:12:56.461Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T01:18:42.832Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T01:20:54.784Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T01:23:16.144Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Edition of vehicle successfully","VEHICLE","2024-05-02T01:23:40.062Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T10:39:17.559Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T10:39:41.058Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Edition of vehicle successfully","VEHICLE","2024-05-02T10:41:33.953Z","juanma@gmail.com","INFO"
"KrmRWiE1pMMDsBoSFWJvZ8y4ouN2","Login successfully","LOGIN","2024-05-02T10:49:11.037Z","juanma@gmail.com","INFO"
